CLIENT_ID,NON_COMPLIANT_CONTRACT,NAME_PRODUCT_TYPE,GENDER,TOTAL_INCOME,AMOUNT_PRODUCT,INSTALLMENT,EDUCATION,MARITAL_STATUS,HOME_SITUATION,REGION_SCORE,AGE_IN_YEARS,JOB_SENIORITY,HOME_SENIORITY,LAST_UPDATE,OWN_INSURANCE_CAR,CAR_AGE,FAMILY_SIZE,REACTIVE_SCORING,PROACTIVE_SCORING,BEHAVIORAL_SCORING,DAYS_LAST_INFO_CHANGE,NUMBER_OF_PRODUCTS,OCCUPATION,DIGITAL_CLIENT,HOME_OWNER,EMPLOYER_ORGANIZATION_TYPE,CURRENCY,NUM_PREVIOUS_LOAN_APP,LOAN_ANNUITY_PAYMENT_MAX,LOAN_ANNUITY_PAYMENT_MIN,LOAN_ANNUITY_PAYMENT_SUM,LOAN_APPLICATION_AMOUNT_MAX,LOAN_APPLICATION_AMOUNT_MIN,LOAN_APPLICATION_AMOUNT_SUM,LOAN_CREDIT_GRANTED_MAX,LOAN_CREDIT_GRANTED_MIN,LOAN_CREDIT_GRANTED_SUM,LOAN_VARIABLE_RATE_MAX,LOAN_VARIABLE_RATE_MIN,NUM_STATUS_ANNULLED,NUM_STATUS_AUTHORIZED,NUM_STATUS_DENIED,NUM_STATUS_NOT_USED,NUM_FLAG_INSURED,CONTRACT_ID,DATE,CREDICT_CARD_BALANCE,CREDIT_CARD_LIMIT,CREDIT_CARD_DRAWINGS_ATM,CREDIT_CARD_DRAWINGS,CREDIT_CARD_DRAWINGS_POS,CREDIT_CARD_DRAWINGS_OTHER,CREDIT_CARD_PAYMENT,NUMBER_DRAWINGS_ATM,NUMBER_DRAWINGS,NUMBER_INSTALMENTS,B_CURRENCY
ES182100022C,0.0,PRODUCT 2,F,1350.0,1890.0,94.5,Secondary,Single,House,0.04622,48.542465,7804.0,8751.0,1259.0,N,0.0,1.0,0.5025213,0.7064284,0.5567274,239.0,0.0,Payroll,0.0,Y,24.0,euros,1.0,81.19,81.19,81.19,1069.09,1069.09,1069.09,1238.44,1238.44,1238.44,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100026W,0.0,PRODUCT 1,F,5400.0,5970.24,390.26,Secondary,Married,Rented apartment,0.020713,30.536985,4306.0,114.0,2518.0,N,0.0,3.0,0.5025213,0.45714298,0.35895124,468.0,5.0,Payroll,0.0,N,2.0,euros,3.0,513.35,0.0,796.65,8100.0,0.0,9688.14,8933.98,0.0,10522.12,0.0,0.0,1.0,2.0,0.0,0.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100041P,0.0,PRODUCT 1,F,1350.0,5400.0,534.11,Bachelor,Married,House,0.008575,33.30959,1275.0,6265.0,2009.0,N,0.0,2.0,0.5025213,0.66315806,0.6785677,1285.0,0.0,Payroll,0.0,N,2.0,euros,2.0,87.57,39.22,126.79,701.84,186.19,888.03,771.34,195.43,966.76,0.0,0.0,0.0,2.0,0.0,0.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100147F,0.0,PRODUCT 1,F,1620.0,6222.74,265.19,Secondary,Married,House,0.003813,44.22466,2832.0,3440.0,3970.0,N,0.0,3.0,0.68469644,0.410907,0.73801965,1198.0,4.0,Payroll,0.0,Y,1.0,euros,9.0,624.31,0.0,1990.98,13554.0,0.0,34280.17,14734.82,0.0,36095.76,0.6579947,0.0,1.0,8.0,0.0,0.0,4.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100149D,0.0,PRODUCT 1,M,2052.0,6475.09,316.49,Secondary,Married,House,0.030755,25.2137,481.0,1642.0,1639.0,Y,4.0,2.0,0.05318279,0.16446313,0.09201281,395.0,0.0,Payroll,0.0,N,2.0,euros,1.0,92.06,92.06,92.06,668.9,668.9,668.9,739.53,739.53,739.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100195H,0.0,PRODUCT 1,M,1080.0,4033.8,112.48,Bachelor,Single,House,0.030755,29.827396,341.0,5333.0,2828.0,Y,8.0,1.0,0.3563551,0.54777306,0.7490217,114.0,2.0,Payroll,0.0,Y,16.0,euros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100198P,0.0,PRODUCT 1,M,1620.0,6372.0,391.39,Secondary,Married,House,0.028663,35.934246,1786.0,7237.0,3168.0,Y,1.0,3.0,0.5025213,0.74891615,0.63970757,0.0,2.0,Payroll,0.0,Y,2.0,euros,7.0,108.47,0.0,329.24,758.05,204.66,3570.26,761.35,204.66,3569.24,0.110009186,0.0,0.0,3.0,3.0,1.0,0.0,ES1821017421n00XXX,2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,euros
ES182100207O,0.0,PRODUCT 1,F,1890.0,8409.96,272.86,Secondary,Married,House,0.01885,45.254795,3592.0,3627.0,44.0,N,0.0,2.0,0.5025213,0.67178255,0.5937176,2709.0,1.0,Payroll,0.0,Y,6.0,euros,1.0,63.5,63.5,63.5,540.0,540.0,540.0,540.0,540.0,540.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100225Q,0.0,PRODUCT 1,M,1890.0,8640.0,342.63,Secondary,Married,Living with relative,0.030755,38.750687,4516.0,1516.0,4616.0,Y,7.0,4.0,0.5025213,0.7221784,0.63470554,1450.0,2.0,Payroll,0.0,N,2.0,euros,5.0,116.6,0.0,264.2,1080.0,507.06,3619.51,1151.28,456.35,3659.15,0.10890909,0.0,0.0,3.0,0.0,2.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100259H,0.0,PRODUCT 1,M,2160.0,5130.0,263.47,Secondary,Married,House,0.018209,56.635616,0.0,3315.0,3299.0,Y,25.0,2.0,0.5025213,0.37916204,0.37910047,1838.0,4.0,Pension,0.0,Y,,euros,6.0,432.0,0.0,1234.99,4860.0,0.0,12355.2,8640.0,0.0,22665.69,0.0,0.0,1.0,4.0,1.0,0.0,1.0,ES1821435602a00XXX,2021-11-30,4369.7,4590.0,0.0,253.82,253.82,0.0,0.0,0.0,9.0,5.0,euros
