CLIENT_ID,NAME_PRODUCT_TYPE,CAR_AGE,TOTAL_INCOME,PRIORIDAD_VENTA
ES182432980R,PRODUCT 1,11.0,54000.0,2. Alta (Renovación)
ES182429258K,PRODUCT 1,27.0,43200.0,1. Urgente (Chatarra)
ES182387126M,PRODUCT 1,16.0,37800.0,1. Urgente (Chatarra)
ES182445335J,PRODUCT 1,21.0,29700.0,1. Urgente (Chatarra)
ES182206341O,PRODUCT 1,16.0,24300.0,1. Urgente (Chatarra)
ES182141198Q,PRODUCT 1,14.0,24300.0,2. Alta (Renovación)
ES182431111I,PRODUCT 1,30.0,21600.0,1. Urgente (Chatarra)
ES182290319K,PRODUCT 1,18.0,21600.0,1. Urgente (Chatarra)
ES182204565G,PRODUCT 1,14.0,18900.0,2. Alta (Renovación)
ES182396363Z,PRODUCT 1,11.0,16578.0,2. Alta (Renovación)
ES182373399U,PRODUCT 1,11.0,16200.0,2. Alta (Renovación)
ES182210485O,PRODUCT 2,11.0,16200.0,2. Alta (Renovación)
ES182128538O,PRODUCT 2,10.0,16200.0,2. Alta (Renovación)
ES182301256U,PRODUCT 1,14.0,16200.0,2. Alta (Renovación)
ES182220023T,PRODUCT 1,11.0,15120.0,2. Alta (Renovación)
ES182292841J,PRODUCT 1,19.0,14580.0,1. Urgente (Chatarra)
ES182439504V,PRODUCT 1,12.0,13500.0,2. Alta (Renovación)
ES182302018I,PRODUCT 1,13.0,13500.0,2. Alta (Renovación)
ES182288105S,PRODUCT 1,14.0,13500.0,2. Alta (Renovación)
ES182290805W,PRODUCT 1,16.0,13500.0,1. Urgente (Chatarra)
ES182106637K,PRODUCT 1,64.0,11610.0,1. Urgente (Chatarra)
ES182302089R,PRODUCT 1,10.0,10800.0,2. Alta (Renovación)
ES182252254P,PRODUCT 1,15.0,10800.0,2. Alta (Renovación)
ES182326050C,PRODUCT 1,11.0,10800.0,2. Alta (Renovación)
ES182196466J,PRODUCT 1,12.0,10800.0,2. Alta (Renovación)
ES182267212I,PRODUCT 1,27.0,10800.0,1. Urgente (Chatarra)
ES182203573V,PRODUCT 1,11.0,10800.0,2. Alta (Renovación)
ES182326271V,PRODUCT 1,23.0,10800.0,1. Urgente (Chatarra)
ES182225078U,PRODUCT 2,15.0,10800.0,2. Alta (Renovación)
ES182439038V,PRODUCT 2,10.0,10800.0,2. Alta (Renovación)
ES182406112A,PRODUCT 2,18.0,10800.0,1. Urgente (Chatarra)
ES182423716G,PRODUCT 1,11.0,10800.0,2. Alta (Renovación)
ES182110860B,PRODUCT 2,14.0,10800.0,2. Alta (Renovación)
ES182121686Q,PRODUCT 1,21.0,10800.0,1. Urgente (Chatarra)
ES182224431E,PRODUCT 2,15.0,10800.0,2. Alta (Renovación)
ES182299668S,PRODUCT 1,11.0,10530.0,2. Alta (Renovación)
ES182148213O,PRODUCT 1,10.0,9936.0,2. Alta (Renovación)
ES182157059I,PRODUCT 2,10.0,9720.0,2. Alta (Renovación)
ES182282972Q,PRODUCT 1,22.0,9720.0,1. Urgente (Chatarra)
ES182370210P,PRODUCT 1,15.0,9720.0,2. Alta (Renovación)
ES182148342F,PRODUCT 1,14.0,9720.0,2. Alta (Renovación)
ES182434237V,PRODUCT 1,11.0,9450.0,2. Alta (Renovación)
ES182233766A,PRODUCT 1,10.0,9180.0,2. Alta (Renovación)
ES182405025G,PRODUCT 2,12.0,9180.0,2. Alta (Renovación)
ES182383416B,PRODUCT 1,10.0,9180.0,2. Alta (Renovación)
ES182307365X,PRODUCT 1,21.0,8640.0,1. Urgente (Chatarra)
ES182394790Z,PRODUCT 2,10.0,8640.0,2. Alta (Renovación)
ES182303021W,PRODUCT 1,13.0,8640.0,2. Alta (Renovación)
