CLIENT_ID,NON_COMPLIANT_CONTRACT,NAME_PRODUCT_TYPE,GENDER,TOTAL_INCOME,AMOUNT_PRODUCT,INSTALLMENT,EDUCATION,MARITAL_STATUS,HOME_SITUATION,REGION_SCORE,AGE_IN_YEARS,JOB_SENIORITY,HOME_SENIORITY,LAST_UPDATE,OWN_INSURANCE_CAR,CAR_AGE,FAMILY_SIZE,REACTIVE_SCORING,PROACTIVE_SCORING,BEHAVIORAL_SCORING,DAYS_LAST_INFO_CHANGE,NUMBER_OF_PRODUCTS,OCCUPATION,DIGITAL_CLIENT,HOME_OWNER,EMPLOYER_ORGANIZATION_TYPE,CURRENCY,NUM_PREVIOUS_LOAN_APP,LOAN_ANNUITY_PAYMENT_MAX,LOAN_ANNUITY_PAYMENT_MIN,LOAN_ANNUITY_PAYMENT_SUM,LOAN_APPLICATION_AMOUNT_MAX,LOAN_APPLICATION_AMOUNT_MIN,LOAN_APPLICATION_AMOUNT_SUM,LOAN_CREDIT_GRANTED_MAX,LOAN_CREDIT_GRANTED_MIN,LOAN_CREDIT_GRANTED_SUM,LOAN_VARIABLE_RATE_MAX,LOAN_VARIABLE_RATE_MIN,NUM_STATUS_ANNULLED,NUM_STATUS_AUTHORIZED,NUM_STATUS_DENIED,NUM_STATUS_NOT_USED,NUM_FLAG_INSURED,CONTRACT_ID,DATE,CREDICT_CARD_BALANCE,CREDIT_CARD_LIMIT,CREDIT_CARD_DRAWINGS_ATM,CREDIT_CARD_DRAWINGS,CREDIT_CARD_DRAWINGS_POS,CREDIT_CARD_DRAWINGS_OTHER,CREDIT_CARD_PAYMENT,NUMBER_DRAWINGS_ATM,NUMBER_DRAWINGS,NUMBER_INSTALMENTS,B_CURRENCY
ES182100084M,0.0,PRODUCT 1,M,2700.0,5944.21,313.69,Secondary,Single,House,0.02461,40.71233,1156.0,23.0,1072.0,N,0.0,3.0,0.5025213,0.5705271,0.69409263,1475.0,0.0,Payroll,0.0,Y,1.0,euros,7.0,217.16,0.0,776.21,5616.0,0.0,9466.2,7839.94,0.0,11560.7,0.2865526,0.0,2.0,3.0,2.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100087X,0.0,PRODUCT 1,F,2430.0,15460.2,453.6,Secondary,Married,House,0.003069,48.060272,2011.0,1529.0,988.0,N,0.0,3.0,0.5025213,0.57206416,0.1918216,1230.0,3.0,Payroll,0.0,Y,2.0,euros,5.0,224.82,81.57,725.9,1954.8,376.81,6321.62,2264.22,396.68,6322.05,0.43563637,0.0,0.0,5.0,0.0,0.0,2.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100103H,0.0,PRODUCT 1,F,864.0,5400.0,203.58,Secondary,Married,House,0.009175,57.841095,1694.0,6057.0,4013.0,N,0.0,2.0,0.5025213,0.7180575,0.5118918,0.0,0.0,Payroll,0.0,Y,7.0,euros,2.0,108.0,56.45,164.45,2160.0,547.02,2707.02,2160.0,604.8,2764.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100111P,0.0,PRODUCT 1,F,1350.0,10350.72,335.45,Secondary,Married,Living with relative,0.0228,28.726027,1249.0,4628.0,3110.0,Y,17.0,3.0,0.56332314,0.60860413,0.22888342,1234.0,0.0,Payroll,0.0,N,1.0,euros,6.0,179.96,63.51,738.88,1799.82,539.89,6550.9,1734.16,544.21,6592.59,0.10890909,0.0,0.0,5.0,1.0,0.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100115E,0.0,PRODUCT 1,F,1080.0,3780.0,176.2,Secondary,Married,House,0.028663,42.112328,367.0,3071.0,4211.0,N,0.0,2.0,0.5025213,0.3343002,0.5108011,40.0,2.0,Payroll,0.0,N,1.0,euros,4.0,81.0,0.0,153.8,1620.0,0.0,1959.66,1620.0,0.0,2020.68,0.0,0.0,2.0,2.0,0.0,0.0,0.0,ES1821102366d00XXX,2021-11-30,558.85,1620.0,540.0,540.0,0.0,0.0,0.0,1.0,1.0,0.0,euros
ES182100133K,0.0,PRODUCT 1,F,810.0,4608.58,225.72,Secondary,Married,Living with relative,0.002134,25.224657,1043.0,4069.0,1882.0,N,0.0,2.0,0.548647,0.31675488,0.5108011,591.0,0.0,Payroll,0.0,N,6.0,euros,3.0,139.49,0.0,231.6,882.85,0.0,1738.85,1050.03,0.0,2059.72,0.0,0.0,0.0,2.0,1.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100180D,0.0,PRODUCT 1,F,3780.0,15460.2,453.6,Bachelor,Married,House,0.020713,42.68767,4940.0,9520.0,5239.0,N,0.0,3.0,0.7290899,0.50985193,0.6754133,1020.0,3.0,Payroll,0.0,Y,14.0,euros,6.0,744.15,0.0,1575.81,13554.0,0.0,20436.84,14341.21,0.0,27279.61,0.0,0.0,2.0,3.0,1.0,0.0,1.0,ES1821012062r00XXX,2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100193P,0.0,PRODUCT 1,F,2700.0,3555.36,181.49,Secondary,Single,House,0.020246,48.983562,940.0,2294.0,1441.0,Y,15.0,1.0,0.73110527,0.74885446,0.508287,2553.0,6.0,Payroll,0.0,N,3.0,euros,11.0,184.5,0.0,371.19,2700.0,0.0,5903.98,3462.8,0.0,6521.74,0.27372873,0.0,6.0,3.0,2.0,0.0,0.0,ES1821594684i00XXX,2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,5.0,euros
ES182100236L,0.0,PRODUCT 1,M,1350.0,3753.22,244.24,Secondary,Married,House,0.028663,63.526028,1896.0,5213.0,4265.0,Y,21.0,2.0,0.5025213,0.4306183,0.5108011,149.0,0.0,Payroll,0.0,Y,5.0,euros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100242R,0.0,PRODUCT 1,M,1080.0,1222.56,129.92,Secondary,Married,Public housing,0.005144,57.38356,7359.0,7395.0,4287.0,Y,11.0,2.0,0.5025213,0.71831423,0.38079968,2278.0,0.0,Payroll,0.0,Y,1.0,euros,1.0,48.54,48.54,48.54,409.33,409.33,409.33,404.84,404.84,404.84,0.10002771,0.10002771,0.0,1.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
